propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,labels,newDevelopmentFinished
96659121,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7b/68/6c/952906204.jpg,99126,37,2,1157.0,flat,rent,80.0,True,4,1,barrio El Poble Sec - Parc de Montjuïc,Barcelona,Barcelona,Sants-Montjuïc,es,El Poble Sec - Parc de Montjuïc,41.3727195,2.1649932,False,https://www.idealista.com/inmueble/96659121/,845,"REF 99126 Piso en alquiler con superficie útil de 73 m², situado en la segunda planta exterior La vivienda consta de: - salón comedor - balcón  - 4 dormitorios con armarios - 1 baño completo - cocina independiente equipada Finca con ascensor. Plaza de parking en la finca, opcional por 100 €/mes Gastos de comunidad e ibi incluidos.  A comienzos del XIX, con el establecimiento de los prados de indianas en las Hortes de Sant Bertran y la explotación de las canteras de la montaña de Montjuïc, nacieron las barriadas de la França Xica, Santa Madrona y las Hortes de Sant Bertran, que todavía hoy constituyen los tres vecindarios diferenciados que integran el Poble-sec, junto con el pequeño núcleo de la Satalia. El Poble-sec es el barrio de los contrastes. En él convive la herencia del ocio de la Barcelona de los años sesenta, representada por El Molino, con la apertura de nuevos negocios de alimentación de todo el mundo. Es también un barrio representativo de la reconocida acogida barcelonesa: las personas que lo habitan y pasean diariamente por él son muy diversas. La personalidad del barrio se conserva actualmente en una de las vías principales del barrio, la calle Blai, próxima a la avenida del Paral·lel. Esta callejuela representa el corazón del barrio. alquiler temporal Para más información, contactar con el equipo de AreaCasa.",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 100.0}",14.0,{'typology': 'flat'},"{'subtitle': 'El Poble Sec - Parc de Montjuïc, Barcelona', 'title': 'Piso'}",True,False,False,False,False,,
96776465,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/81/b0/1c/956236043.jpg,2717ric,19,en,1100.0,flat,rent,101.0,True,5,1,barrio Sant Antoni,Barcelona,Barcelona,Eixample,es,Sant Antoni,41.3783898,2.1616305000000002,False,https://www.idealista.com/inmueble/96776465/,627,"Excelente piso exterior, obra modernista, muy bien conservada en el barrio de SANT ANTONI Consta de 5 habitaciones con suelos de parquets, salon comedor con salida a terraza, recibidor, cocina baño completo con plato de ducha, tambien tiene otro balcón que da a corazon de manzana. Tiene aire acondicionado bomba frio calor La vivienda se entrega sin muebles y sin electrodomésticos, solamente en la cocina están los fuegos. , el horno, la campana y la caldera Indice inferior 8,63 medio 11,54 y superior 15,88 /m2 Precio: 1100 euros Fianza dos meses Se exige solvencia económica demostrable  DISPONIBLE llámenos para coordinar visitas.",False,good,False,False,,11.0,{'typology': 'flat'},"{'subtitle': 'Sant Antoni, Barcelona', 'title': 'Piso'}",False,False,False,False,False,,
96303041,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/e2/46/943276301.jpg,98555,32,3,1400.0,flat,rent,149.0,True,3,1,barrio Sant Antoni,Barcelona,Barcelona,Eixample,es,Sant Antoni,41.3818978,2.1579677000000004,False,https://www.idealista.com/inmueble/96303041/,946,"REF 98555 Estupendo piso en alquiler con superficie de 140 m2 útiles, situado en la tercera planta exterior de la finca. La vivienda consta de: - salón comedor - 3 dormitorios amplios con armarios  - cocina independiente equipada - 2 baños completos ( uno con bañera y el otro con plato de ducha) - lavadero Buen estado de conservación. El precio incluye gastos de IBI y Comunidad  Finca con ascensor. El nombre del barrio tiene su origen en el convento de Sant Antoni Abat, levantado en el siglo XV, junto a la muralla de Barcelona. La fisonomía del barrio es fruto de las reformas vinculadas a la Exposición Universal de 1929. Con la avenida del Paral·lel y la Gran Via de les Corts Catalanes en dos de los extremos y las rondas de Sant Pau y de Sant Antoni en el otro, Sant Antoni es uno de los barrios más pequeños y densos del distrito de L’Eixample. Mucha gente de otras zonas va a comprar al barrio porque tiene una importante oferta comercial y queda cerca del centro de la ciudad. Para más información, contactar con el equipo de Area Casa.",False,good,False,True,,9.0,{'typology': 'flat'},"{'subtitle': 'Sant Antoni, Barcelona', 'title': 'Piso'}",False,False,False,False,False,,
96775039,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/40/ae/956232337.jpg,HAHS220215,8,3,1700.0,flat,rent,80.0,False,2,2,Calle de la Reina Amàlia,Barcelona,Barcelona,Ciutat Vella,es,El Raval,41.3783208,2.1667353,False,https://www.idealista.com/inmueble/96775039/,240,"Impresionante piso de obra nueva a estrenar!  La finca se ubica en una de las zonas céntricas de Barcelona con todas las comodidades posibles.     El inmueble cuenta con 2 dormitorios dobles, 2 baños, cocina abierta y salón-comedor con salido al balcón.  El piso está disponible para corta y larga estancia.   Perfectamente equipado para entrar a vivir.    De la misma manera, cuenta con una zona solarium y piscina en construcción.     Extra 200 euros al mes para facturas, incluye: Agua, electricidad, Seguridad, wifi    Los muebles se pueden poner a su gusto, es decir, se pueden cambiar de posición.    No dudes en ponerte en contacto y hacer una visita.    Te va a encantar!    ¡No dudes en ponerte en contacto!",False,good,False,True,,21.0,{'typology': 'flat'},"{'subtitle': 'El Raval, Barcelona', 'title': 'Piso en Calle de la Reina Amàlia'}",True,False,False,False,False,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",
90822517,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/2a/e1/799376999.jpg,83302,14,1,1550.0,flat,rent,75.0,True,1,1,barrio El Gòtic,Barcelona,Barcelona,Ciutat Vella,es,El Gòtic,41.3846392,2.1741562,False,https://www.idealista.com/inmueble/90822517/,698,"REF 83302 Altura piso 1º Loft superficie total 75 m² Superficie útil 75 m² Habitaciones dobles: 1 1 baño Aire acondicionado frío y calor Cocina equipada Estado conservación: buen estado Amueblado totalmente amueblado Soleado muy soleado Ciutat Vella abarca lo que fue el núcleo urbano de la capital catalana. Las tierras de l’Eixample también pertenecían a Barcelona pero no tenían ningún núcleo urbano hasta que se tiraron las murallas a mediados del XIX. Cuenta con casi 105 mil habitantes. El distrito de Ciutat Vella está formado por los barrios de El Raval, el Gòtic, Sant Pere, Santa Caterina i La Ribera y la Barceloneta. Ciutat Vella es sin duda el distrito más visitado de Barcelona junto con l’Eixample, y es que esta zona de Barcelona cuenta con gran parte de los atractivos de la ciudad como la Plaça Catalunya, la Rambla, la Via Laietana, el Portal de l’Àngel, El Gran Teatre del Liceu, Santa Maria del Mar, la catedral de Barcelona, la Plaça del Rei, la Plaça Reial, la Generalitat, el ayuntamiento y un largo etcétera. Óbviamente, la oferta hotelera en Ciutat Vella es enorme. alquiler temporal Para más información, contactar con el equipo de AreaCasa.",False,good,False,True,,21.0,{'typology': 'flat'},"{'subtitle': 'El Gòtic, Barcelona', 'title': 'Piso'}",True,False,False,False,False,,
96776219,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/56/4d/07/956228204.jpg,525-01,37,2,1750.0,flat,rent,116.0,True,3,2,Rda San Antonio,Barcelona,Barcelona,Eixample,es,Sant Antoni,41.382832,2.1640699,False,https://www.idealista.com/inmueble/96776219/,532,"Magnífica vivienda en Rda Sant Antonio de estilo modernista de 1890 a estrenar junto Mercat S. Antoni. Se trata de una finca íntegramente rehabilitada de estilo Modernista del maestro de obras Josep Graner i Prat que data de 1890. La vivienda se encuentra situada en una tercera planta real completamente reformada de la mano del equipo de arquitectura Cuixart Amorós (fotos de J. Guillamat). Se han recuperado todos los elementos originales, suelos hidráulicos de distintas estampaciones y cornisas y ornamentaciones en los techos. Distribución típicamente del Eixample, es decir el piso tiene salida a fachada con dos balcones y tenemos también en el lado opuesto la galería muy soleada a interior de manzana. Al entrar nos encontramos con una cocina íntegramente equipada, a un lado de la misma una sala para comedor y un gran salón con balcón a fachada, con una ventana que comunica las dos salas. Junto a éste tenemos una primera habitación doble con balcón a fachada y armarios empotrados. Al otro lado de la vivienda accedemos a la gran habitación en suite de unos 18 m2 con armarios empotrados y salida a galería con espacio para aseo y cuarto de baño, así como zona de estudio. La tercera habitación es interior y de forma más alargada, con armarios integrados en el pasillo. Frente a ésta encontramos un segundo cuarto de baño con plato de ducha y una sala de máquinas para el termo y la lavadora. Ventiladores de techo. Balcones en hierro forjado con formas sinuosas. Coloridas ornamentaciones, con relieves florales. Servio de portería. Gastos IBI Y COMUNIDAD.. . 200 € mes. Alarma. 45 € mes  Ubicación inmejorable junto al recién remodelado Mercat de Sant Antoni, así como Plaza Universidad y Plaza Cataluña. Zona muy comercial. Bien comunicado por bus (52, 54, 55, 59, 63, 67, 120, 141, D50, H12, H16, V11, V13) y metro (L1, L2, L6, L7) y FFGG ( S1, S2, S5, S55). La renta ha sido calculada en base del Indice de Referencia obtenida por el Departament d'Habitatge de Catalunya, a tenor de la Ley 11/2020 de 18 de septiembre, más los gastos desglosados a continuación: Área Inferior: 9,24 e / m2 Índice: 11,12 e / m2 Área Superior: 15.70 e / m2. Fantástico ático muy soleado junto Plaza Bonanova con gran terraza de 40 m2 con vistas al mar y plaza de parking.",True,good,False,True,,15.0,{'typology': 'flat'},"{'subtitle': 'Sant Antoni, Barcelona', 'title': 'Piso en Rda San Antonio'}",True,False,False,False,False,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",
96722672,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/1e/5c/954719152.jpg,,12,en,1200.0,flat,rent,60.0,True,2,1,Calle d'en Gignàs,Barcelona,Barcelona,Ciutat Vella,es,El Gòtic,41.3793114,2.1799614,False,https://www.idealista.com/inmueble/96722672/,921,"Muy bonito piso entresuelo, totalmente nuevo y amueblado. Dispone de un salón comedor, con una cocina abierta equipada, dos habitaciones dobles, dos baños completos con ducha. DISPONIBLE A PARTIR DEL 15 DE MARZO. No se admiten mascotas.  Está ubicado en Gótico, en el corazón del centro histórico, ofrece una ubicación céntrica, a dos pasos de Vía Laietana, pero también del Paseo Colón y de las playas de la Barceloneta. El barrio Gótico ofrece una variedad de restaurantes, bares, cafeterías y tiendas. Esta zona es la parte más antigua de Barcelona que respira historia en cada segundo rincón. Una ubicación perfecta a poca distancia de la playa de la Barceloneta y Plaza Catalunya. No dude en ponerse en contacto con nosotros para obtener más información y/o para programar una visita.",True,good,False,True,,20.0,{'typology': 'flat'},"{'subtitle': 'El Gòtic, Barcelona', 'title': ""Piso en Calle d'en Gignàs""}",True,False,False,False,False,,
96775088,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/a9/10/956198429.jpg,PP1522-PG,21,2,810.0,flat,rent,50.0,False,1,1,Calle de Sepúlveda,Barcelona,Barcelona,Eixample,es,Sant Antoni,41.383901200000004,2.1624719,False,https://www.idealista.com/inmueble/96775088/,711,"Principal Primera presenta esta magnifica 2ª planta real en finca ""regia"" rehabilitada de 1900.    El piso dispone de 50 m2 distribuidos en un salón-comedor de 20 m2 con una salida a un balcón de 2 m2. Una habitación doble con armarios empotrados y otra salida a un balcón de 2m2, un baño completo con plato de ducha y una cocina independiente.      768.58€ INDEX + 41.71€ IBI = 810.32€      Situada en el barrio de Sant Antoni es una zona fantástica para pasear, ir de compras, admirar la magnífica arquitectura, o mirar a la gente pasar, desde uno de sus numerosas cafeterías, bares o restaurantes. Está llena de buenos restaurantes para todos los gustos y bolsillos, cuenta con una animada vida nocturna y gran selección de bares y discotecas muy populares. Cercana a muchos museos, incluyendo el MACBA, MNAC y el CCCB. Buena conexión con el aeropuerto: el trayecto en taxi es más económico. Distrito próximo a Montjuic para disfrutar de sus vistas, sonidos y su mágica fuente. Inmejorable servicio de transporte público y de taxis, disponibles fácilmente.",False,good,False,True,,16.0,{'typology': 'flat'},"{'subtitle': 'Sant Antoni, Barcelona', 'title': 'Piso en Calle de Sepúlveda'}",True,False,False,False,False,,
96774713,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/5b/8f/956187799.jpg,villarroel31,17,3,1050.0,flat,rent,75.0,True,2,1,"Calle de Villarroel, 31",Barcelona,Barcelona,Eixample,es,Sant Antoni,41.3816573,2.1611987,True,https://www.idealista.com/inmueble/96774713/,679,"Precioso piso en pleno Eixample Izquierdo, completamente rehabilitado a estrenar, con suelos de mosaico hidraulico, muy soleado y tranquilo, ideal para una pareja. En el dormitorio principal la vivienda dispone de un pequeño despacho muy luminoso ideal para personas que teletrabajen. El salon comedor esta orientado al un amplio patio de manzana muy soleado y tranquilo. La vivienda tiene calefaccion y aire acondicionado. Techos altos artesanados. Armarios empotrados. No se admiten animales de compañia.",False,good,False,True,,14.0,{'typology': 'flat'},"{'subtitle': 'Sant Antoni, Barcelona', 'title': 'Piso en Calle de Villarroel, 31'}",False,False,False,False,False,,
96774717,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/d3/f3/956188119.jpg,AVIV0094A4,42,1,2300.0,flat,rent,82.0,True,2,2,"gravina, 26",Barcelona,Barcelona,Ciutat Vella,es,El Raval,41.3857297,2.1659724,True,https://www.idealista.com/inmueble/96774717/,711,"Impresionante Piso en Gravina! El apartamento es de 82m2, cuenta con 2 dormitorios y 2 baños. Todo totalmente equipado y en perfecto estado! El salon tiene vista exterior y 2 grandes ventanales con vista a la calle. Esto nos dará muchisima luz durante el dia. Además está decorado con muy buen gusto! La cocina se encuentra totalmente equipada con electrodomesticos de alta gama y utensillos (platos, cubiertos, ollas sartenes y mucho mas! ). Los dormitorios son muy acogedores. Son 2 dobles. Todos cuentan con camas comodas y con calefaccion! Los baños son muy grandes y se encuentran totalmente equipados y en perfecto estado! El piso se encuentra en el centro de Barcelona, justo en frente de la plaza Castilla. No dudes en escribirnos para coordinar una visita al +34 622 16 30 52!",True,good,False,True,,28.0,{'typology': 'flat'},"{'subtitle': 'El Raval, Barcelona', 'title': 'Piso en gravina, 26'}",True,False,False,False,False,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",
